task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_BlocksWorld_EIGHT4-51_46.yml,pr2,true,True,58.577349,58.59084930690005,437.313536,295.0,58.10922919027507,0.2891062316484749,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '46')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,46
AIJ_BlocksWorld_EIGHT4-51_49.yml,pr2,true,True,42.841193,42.853515152819455,303.7184,467.0,42.36833290010691,0.2908161599189043,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '49')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,49
AIJ_BlocksWorld_EIGHT4-51_52.yml,pr2,true,True,41.583198,41.595688631758094,294.342656,294.0,41.112551749218255,0.2945445599034428,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '52')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,52
AIJ_BlocksWorld_EIGHT4-51_7.yml,pr2,true,True,0.86513,0.8739778129383922,38.576128,35.0,0.4272726639173925,0.2490850752219557,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '7')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,7
AIJ_BlocksWorld_EIGHT50_1.yml,pr2,true,True,15.576723,15.58563949726522,105.3696,856.0,15.11667707003653,0.2698715613223612,"('AIJ', 'BlocksWorld', 'EIGHT50', '1')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,1
AIJ_BlocksWorld_EIGHT50_10.yml,pr2,true,True,33.128566,33.140068804845214,114.102272,10102.0,32.65304786292836,0.296500408090651,"('AIJ', 'BlocksWorld', 'EIGHT50', '10')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,10
AIJ_BlocksWorld_EIGHT50_11.yml,pr2,true,True,27.251075,27.2613961501047,119.824384,5201.0,26.742890859022737,0.3070669011212885,"('AIJ', 'BlocksWorld', 'EIGHT50', '11')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,11
AIJ_BlocksWorld_EIGHT50_12.yml,pr2,true,True,23.489984,23.499932537786663,106.573824,6109.0,23.004575002007183,0.2984822909347713,"('AIJ', 'BlocksWorld', 'EIGHT50', '12')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,12
AIJ_BlocksWorld_EIGHT50_13.yml,pr2,true,True,58.592717,58.60560609586537,199.323648,8909.0,58.11407323088497,0.298239691182971,"('AIJ', 'BlocksWorld', 'EIGHT50', '13')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,13
AIJ_BlocksWorld_EIGHT50_14.yml,pr2,true,True,36.191408,36.20257949596271,134.135808,6858.0,35.67476110300049,0.3130739629268646,"('AIJ', 'BlocksWorld', 'EIGHT50', '14')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,14
AIJ_BlocksWorld_EIGHT50_15.yml,pr2,true,True,49.24537,49.259924998972565,160.39936,9346.0,48.77567875385285,0.2985497657209635,"('AIJ', 'BlocksWorld', 'EIGHT50', '15')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,15
AIJ_BlocksWorld_EIGHT50_16.yml,pr2,true,True,53.570972,53.58392420317978,171.855872,8289.0,53.06842117290944,0.3182786973193288,"('AIJ', 'BlocksWorld', 'EIGHT50', '16')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,16
AIJ_BlocksWorld_EIGHT50_17.yml,pr2,true,True,71.471227,71.48639111919329,252.297216,9812.0,70.98816622979939,0.3102336330339312,"('AIJ', 'BlocksWorld', 'EIGHT50', '17')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,17
AIJ_BlocksWorld_EIGHT50_18.yml,pr2,true,True,41.39332,41.40547929983586,184.041472,14696.0,40.8817059439607,0.325656175147742,"('AIJ', 'BlocksWorld', 'EIGHT50', '18')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,18
AIJ_BlocksWorld_EIGHT50_19.yml,pr2,true,True,38.973479,38.98507059691474,150.540288,8571.0,38.4806839437224,0.3136378498747945,"('AIJ', 'BlocksWorld', 'EIGHT50', '19')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,19
AIJ_BlocksWorld_EIGHT50_2.yml,pr2,true,True,18.666508,18.677541132085025,126.242816,1250.0,18.21737847616896,0.274585974868387,"('AIJ', 'BlocksWorld', 'EIGHT50', '2')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,2
AIJ_BlocksWorld_EIGHT50_20.yml,pr2,true,True,30.971936,30.983712426852435,149.016576,7255.0,30.480229877866805,0.3137655612081289,"('AIJ', 'BlocksWorld', 'EIGHT50', '20')",AIJ,BlocksWorld,EIGHT50,BlocksWorld-EIGHT50,20
